"","Rbias_gam_aic","Rbias_gam_bic","Rbias_glm","coverrate_gam_aic","coverrate_gam_bic","coverrate_glm","RMSE_gam_aic","RMSE_gam_bic","RMSE_glm","convergrate_gam_aic","convergrate_gam_bic","convergrate_glm"
"Ymodel1.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel1.S",NA,0.134,0.09,NA,94.4,94.6,NA,0.054,0.054,0,100,100
"Ymodel1.L",NA,0.714,0.626,NA,95.4,95.6,NA,0.108,0.107,0,100,100
"Ymodel1.M",NA,0.457,0.391,NA,96,96.4,NA,0.448,0.445,0,100,100
"Ymodel1.H",NA,0.451,0.402,NA,94,93.8,NA,0.822,0.817,0,100,100
"Ymodel2.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel2.S",NA,-1.312,-4.339,NA,93.4,85.8,NA,0.068,0.076,0,100,100
"Ymodel2.L",NA,-1.295,-3.023,NA,93.8,91.2,NA,0.119,0.127,0,100,100
"Ymodel2.M",NA,-0.035,3.537,NA,94.8,90.4,NA,0.456,0.577,0,100,100
"Ymodel2.H",NA,-0.254,4.389,NA,93.4,87.2,NA,0.779,1.07,0,100,100
"Ymodel3.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel3.S",NA,-1.51,5.279,NA,94.8,90,NA,0.071,0.089,0,100,100
"Ymodel3.L",NA,-1.48,4.449,NA,91.6,91.6,NA,0.132,0.157,0,100,100
"Ymodel3.M",NA,-0.99,2.785,NA,92.2,93.4,NA,0.461,0.524,0,100,100
"Ymodel3.H",NA,-0.735,0.318,NA,93.4,94,NA,0.782,0.775,0,100,100
"Ymodel4.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel4.S",NA,-1.512,5.44,NA,91.2,90.4,NA,0.073,0.092,0,100,100
"Ymodel4.L",NA,-0.846,5.828,NA,94.2,87.2,NA,0.132,0.176,0,100,100
"Ymodel4.M",NA,-0.503,2.833,NA,94.4,92.8,NA,0.462,0.517,0,100,100
"Ymodel4.H",NA,0.013,0.708,NA,93.8,94.4,NA,0.759,0.772,0,100,100
"Ymodel5.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel5.S",NA,-0.658,12.932,NA,95.4,50,NA,0.057,0.147,0,100,100
"Ymodel5.L",NA,0.097,11.46,NA,95.8,54.6,NA,0.113,0.261,0,100,100
"Ymodel5.M",NA,-0.371,1.738,NA,94.6,95.2,NA,0.496,0.489,0,100,100
"Ymodel5.H",NA,-0.212,-2.08,NA,94.8,92,NA,0.816,0.838,0,100,100
"Ymodel6.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.S",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.M",NA,NA,25.958,NA,NA,35.8,NA,NA,0.966,0,0,100
"Ymodel6.H",NA,2.709,22.349,NA,92.4,16.8,NA,0.622,2.246,0,100,100
"Ymodel7.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel7.S",NA,0.969,-4.779,NA,96.2,83.2,NA,0.066,0.077,0,100,100
"Ymodel7.L",NA,1.443,-2.575,NA,95.4,91.6,NA,0.127,0.127,0,100,100
"Ymodel7.M",NA,1.125,2.579,NA,95.6,93.4,NA,0.46,0.54,0,100,100
"Ymodel7.H",NA,1.434,3.976,NA,93.8,89.2,NA,0.784,1.019,0,100,100
"Ymodel8.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel8.S",NA,-0.361,4.983,NA,94,92,NA,0.066,0.08,0,100,100
"Ymodel8.L",NA,-0.912,4.865,NA,95.4,90.8,NA,0.119,0.156,0,100,100
"Ymodel8.M",NA,-0.842,4.157,NA,94.8,88,NA,0.466,0.606,0,100,100
"Ymodel8.H",NA,-1.167,1.535,NA,94.2,94,NA,0.771,0.798,0,100,100
"Ymodel9.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel9.S",NA,-0.006,-0.272,NA,95.2,95.2,NA,0.057,0.056,0,100,100
"Ymodel9.L",NA,0.347,0.076,NA,96,94.6,NA,0.105,0.104,0,100,100
"Ymodel9.M",NA,0.456,0.276,NA,94.8,94.4,NA,0.478,0.474,0,100,100
"Ymodel9.H",NA,0.181,0.092,NA,95.6,95.4,NA,0.795,0.795,0,100,100
