"","Rbias_gam_aic","Rbias_gam_bic","Rbias_glm","coverrate_gam_aic","coverrate_gam_bic","coverrate_glm","RMSE_gam_aic","RMSE_gam_bic","RMSE_glm","convergrate_gam_aic","convergrate_gam_bic","convergrate_glm"
"Ymodel1.XS",NA,0.457,0.418,NA,93.2,93.6,NA,0.012,0.012,0,100,100
"Ymodel1.S",NA,-0.077,-0.144,NA,95.8,95.6,NA,0.054,0.054,0,100,100
"Ymodel1.L",NA,0.717,0.649,NA,93.4,94,NA,0.107,0.107,0,100,100
"Ymodel1.M",NA,0.501,0.451,NA,94.6,94.8,NA,0.483,0.482,0,100,100
"Ymodel1.H",NA,0.361,0.349,NA,95.8,96.2,NA,0.82,0.819,0,100,100
"Ymodel2.XS",NA,-0.325,-6.284,NA,94.2,78,NA,0.014,0.018,0,100,100
"Ymodel2.S",NA,-2.421,-5.208,NA,89.4,82.2,NA,0.071,0.082,0,100,100
"Ymodel2.L",NA,0.693,-2.44,NA,93.4,90,NA,0.129,0.135,0,100,100
"Ymodel2.M",NA,0.047,3.622,NA,93.8,93,NA,0.479,0.594,0,100,100
"Ymodel2.H",NA,-0.161,4.691,NA,96.2,89.6,NA,0.767,1.091,0,100,100
"Ymodel3.XS",NA,-0.948,7.123,NA,93.6,90,NA,0.016,0.022,0,100,100
"Ymodel3.S",NA,-1.763,5.25,NA,91.2,92.4,NA,0.074,0.09,0,100,100
"Ymodel3.L",NA,-1.213,5.58,NA,93.6,90.6,NA,0.131,0.171,0,100,100
"Ymodel3.M",NA,-1.419,3.413,NA,94.6,93.6,NA,0.456,0.533,0,100,100
"Ymodel3.H",NA,-1.28,0.925,NA,93.4,96.2,NA,0.789,0.77,0,100,100
"Ymodel4.XS",NA,-1.25,6.129,NA,94.2,92.4,NA,0.016,0.02,0,100,100
"Ymodel4.S",NA,-1.496,5.69,NA,94.4,93,NA,0.07,0.089,0,100,100
"Ymodel4.L",NA,-1.001,5.986,NA,94.4,90.4,NA,0.127,0.173,0,100,100
"Ymodel4.M",NA,-0.605,4.257,NA,93.8,90,NA,0.478,0.599,0,100,100
"Ymodel4.H",NA,-0.701,1.001,NA,94,93.4,NA,0.802,0.829,0,100,100
"Ymodel5.XS",NA,-0.254,16.018,NA,95.4,36.6,NA,0.012,0.036,0,100,100
"Ymodel5.S",NA,-0.387,13.665,NA,94.8,44,NA,0.06,0.155,0,100,100
"Ymodel5.L",NA,-0.106,11.819,NA,95.6,53.4,NA,0.112,0.267,0,100,100
"Ymodel5.M",NA,-0.794,2.894,NA,93.4,92.6,NA,0.525,0.552,0,100,100
"Ymodel5.H",NA,-0.095,-0.774,NA,95.2,95.2,NA,0.854,0.784,0,100,100
"Ymodel6.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.S",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.M",NA,NA,24.715,NA,NA,42,NA,NA,0.935,0,0,100
"Ymodel6.H",NA,3.286,23.204,NA,92.6,17.4,NA,0.678,2.33,0,100,100
"Ymodel7.XS",NA,-0.308,-7.562,NA,94.2,72.2,NA,0.015,0.02,0,100,100
"Ymodel7.S",NA,0.994,-4.696,NA,94.8,84.6,NA,0.069,0.078,0,100,100
"Ymodel7.L",NA,1.538,-2.551,NA,95,93,NA,0.128,0.128,0,100,100
"Ymodel7.M",NA,0.94,2.175,NA,95,95.6,NA,0.464,0.524,0,100,100
"Ymodel7.H",NA,2.259,4.853,NA,94.6,88.2,NA,0.865,1.139,0,100,100
"Ymodel8.XS",NA,0.822,6.221,NA,95.6,90.2,NA,0.015,0.019,0,100,100
"Ymodel8.S",NA,-0.418,5.229,NA,94.6,90.6,NA,0.067,0.084,0,100,100
"Ymodel8.L",NA,-0.836,5.391,NA,94.2,89.6,NA,0.128,0.165,0,100,100
"Ymodel8.M",NA,-1.298,4.944,NA,94,87,NA,0.487,0.648,0,100,100
"Ymodel8.H",NA,-1.508,2.382,NA,95.2,96,NA,0.787,0.849,0,100,100
"Ymodel9.XS",NA,-0.277,-0.575,NA,95,95.2,NA,0.01,0.01,0,100,100
"Ymodel9.S",NA,0.101,-0.2,NA,95.2,95,NA,0.054,0.054,0,100,100
"Ymodel9.L",NA,0.682,0.412,NA,95.8,96.4,NA,0.104,0.102,0,100,100
"Ymodel9.M",NA,0.223,0.063,NA,94.6,94.4,NA,0.477,0.475,0,100,100
"Ymodel9.H",NA,0.365,0.264,NA,95,94.6,NA,0.864,0.861,0,100,100
