"","Rbias_gam_aic","Rbias_gam_bic","Rbias_glm","coverrate_gam_aic","coverrate_gam_bic","coverrate_glm","RMSE_gam_aic","RMSE_gam_bic","RMSE_glm","convergrate_gam_aic","convergrate_gam_bic","convergrate_glm"
"Ymodel1.XS",NA,-0.328,-0.375,NA,94,94.4,NA,0.011,0.011,0,100,100
"Ymodel1.S",NA,0.245,0.166,NA,95,95,NA,0.051,0.051,0,100,100
"Ymodel1.L",NA,0.436,0.333,NA,95.4,94.8,NA,0.105,0.104,0,100,100
"Ymodel1.M",NA,0.285,0.189,NA,96.8,96.6,NA,0.435,0.435,0,100,100
"Ymodel1.H",NA,0.121,0.062,NA,96,96.2,NA,0.781,0.78,0,100,100
"Ymodel2.XS",NA,-0.685,-6.395,NA,94.8,77,NA,0.014,0.018,0,100,100
"Ymodel2.S",NA,-1.945,-4.968,NA,93,83.2,NA,0.068,0.079,0,100,100
"Ymodel2.L",NA,0.248,-2.689,NA,95.6,91.4,NA,0.118,0.126,0,100,100
"Ymodel2.M",NA,-0.098,3.462,NA,94.4,91.2,NA,0.45,0.573,0,100,100
"Ymodel2.H",NA,-0.105,4.205,NA,96.4,87.8,NA,0.723,1.002,0,100,100
"Ymodel3.XS",NA,-0.786,6.979,NA,93.6,90.6,NA,0.016,0.022,0,100,100
"Ymodel3.S",NA,-1.287,5.19,NA,92.8,92,NA,0.071,0.088,0,100,100
"Ymodel3.L",NA,-1.367,4.563,NA,91,91.6,NA,0.134,0.159,0,100,100
"Ymodel3.M",NA,-1.007,2.124,NA,94.6,95,NA,0.45,0.468,0,100,100
"Ymodel3.H",NA,-0.852,-0.377,NA,94.6,93.8,NA,0.753,0.76,0,100,100
"Ymodel4.XS",NA,-1.92,5.586,NA,91,92.6,NA,0.016,0.02,0,100,100
"Ymodel4.S",NA,-1.108,5.644,NA,93.2,90.2,NA,0.071,0.091,0,100,100
"Ymodel4.L",NA,-1.161,5.024,NA,94.6,90,NA,0.134,0.167,0,100,100
"Ymodel4.M",NA,-0.462,2.197,NA,92.6,93,NA,0.473,0.503,0,100,100
"Ymodel4.H",NA,-0.132,-0.046,NA,94.8,94.6,NA,0.749,0.764,0,100,100
"Ymodel5.XS",NA,-0.19,15.97,NA,94,36.4,NA,0.012,0.036,0,100,100
"Ymodel5.S",NA,-0.764,12.499,NA,94.2,53.2,NA,0.061,0.145,0,100,100
"Ymodel5.L",NA,-0.321,10.531,NA,94,59.4,NA,0.118,0.248,0,100,100
"Ymodel5.M",NA,0,1.43,NA,96.4,95.4,NA,0.484,0.471,0,100,100
"Ymodel5.H",NA,-0.031,-2.715,NA,94.4,90.8,NA,0.804,0.866,0,100,100
"Ymodel6.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.S",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.M",NA,NA,27.807,NA,NA,29.8,NA,NA,1.022,0,0,100
"Ymodel6.H",NA,2.051,23.018,NA,93,13,NA,0.598,2.299,0,100,100
"Ymodel7.XS",NA,-0.363,-7.52,NA,93.4,71.8,NA,0.015,0.02,0,100,100
"Ymodel7.S",NA,1.048,-4.636,NA,95,84.2,NA,0.067,0.076,0,100,100
"Ymodel7.L",NA,1.658,-2.106,NA,95.6,93.4,NA,0.124,0.122,0,100,100
"Ymodel7.M",NA,1.32,2.844,NA,94,92.8,NA,0.47,0.549,0,100,100
"Ymodel7.H",NA,1.572,4.211,NA,95.2,90.8,NA,0.777,1.036,0,100,100
"Ymodel8.XS",NA,0.96,6.531,NA,95.8,88.2,NA,0.014,0.019,0,100,100
"Ymodel8.S",NA,-0.08,5.174,NA,96.4,90,NA,0.064,0.083,0,100,100
"Ymodel8.L",NA,-0.773,4.851,NA,95.6,89.8,NA,0.122,0.157,0,100,100
"Ymodel8.M",NA,-0.58,3.774,NA,94.8,89.8,NA,0.452,0.56,0,100,100
"Ymodel8.H",NA,-1.262,0.548,NA,93.6,95.4,NA,0.764,0.748,0,100,100
"Ymodel9.XS",NA,0.487,0.166,NA,96,95.8,NA,0.011,0.011,0,100,100
"Ymodel9.S",NA,0.032,-0.266,NA,95.2,94.8,NA,0.054,0.054,0,100,100
"Ymodel9.L",NA,0.602,0.36,NA,95,94.2,NA,0.107,0.106,0,100,100
"Ymodel9.M",NA,0.352,0.185,NA,97.4,97.4,NA,0.434,0.431,0,100,100
"Ymodel9.H",NA,0.29,0.203,NA,95,95,NA,0.816,0.81,0,100,100
