"","Rbias_gam_aic","Rbias_gam_bic","Rbias_glm","coverrate_gam_aic","coverrate_gam_bic","coverrate_glm","RMSE_gam_aic","RMSE_gam_bic","RMSE_glm","convergrate_gam_aic","convergrate_gam_bic","convergrate_glm"
"Ymodel1.XS",NA,0.209,0.185,NA,95,94.6,NA,0.01,0.01,0,100,100
"Ymodel1.S",NA,-0.077,-0.133,NA,95,94.8,NA,0.053,0.052,0,100,100
"Ymodel1.L",NA,0.668,0.598,NA,96.4,95.6,NA,0.102,0.102,0,100,100
"Ymodel1.M",NA,0.144,0.083,NA,94.6,95,NA,0.474,0.472,0,100,100
"Ymodel1.H",NA,0.278,0.259,NA,95.4,95.6,NA,0.82,0.818,0,100,100
"Ymodel2.XS",NA,-0.983,-6.951,NA,93.6,74.2,NA,0.014,0.019,0,100,100
"Ymodel2.S",NA,-1.667,-4.668,NA,92.6,85.2,NA,0.069,0.077,0,100,100
"Ymodel2.L",NA,0.234,-2.819,NA,96.4,90.4,NA,0.121,0.13,0,100,100
"Ymodel2.M",NA,0.047,3.63,NA,94.8,90.2,NA,0.46,0.589,0,100,100
"Ymodel2.H",NA,-0.371,4.255,NA,94.2,88.6,NA,0.779,1.05,0,100,100
"Ymodel3.XS",NA,-0.306,7.796,NA,95,90.4,NA,0.015,0.022,0,100,100
"Ymodel3.S",NA,-1.322,5.325,NA,95,93.2,NA,0.067,0.088,0,100,100
"Ymodel3.L",NA,-1.476,4.756,NA,93.8,90.6,NA,0.13,0.159,0,100,100
"Ymodel3.M",NA,-0.855,3.323,NA,94.8,93,NA,0.462,0.538,0,100,100
"Ymodel3.H",NA,-1.002,0.553,NA,95.8,95.6,NA,0.765,0.751,0,100,100
"Ymodel4.XS",NA,-1.101,5.792,NA,94,91,NA,0.017,0.021,0,100,100
"Ymodel4.S",NA,-1.363,5.909,NA,92.2,89.4,NA,0.074,0.095,0,100,100
"Ymodel4.L",NA,-0.643,6.111,NA,95.2,86.6,NA,0.13,0.179,0,100,100
"Ymodel4.M",NA,-0.564,3.068,NA,94,93.2,NA,0.472,0.543,0,100,100
"Ymodel4.H",NA,-0.487,0.721,NA,95,96.6,NA,0.755,0.748,0,100,100
"Ymodel5.XS",NA,-0.379,15.811,NA,94.8,38.8,NA,0.012,0.036,0,100,100
"Ymodel5.S",NA,0.112,14.004,NA,94.6,44.6,NA,0.061,0.16,0,100,100
"Ymodel5.L",NA,-0.833,10.714,NA,94.4,56,NA,0.116,0.25,0,100,100
"Ymodel5.M",NA,-0.484,2.434,NA,93,90.2,NA,0.535,0.544,0,100,100
"Ymodel5.H",NA,-0.232,-1.615,NA,94.8,92,NA,0.835,0.835,0,100,100
"Ymodel6.XS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.S",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Ymodel6.M",NA,NA,25.806,NA,NA,37.2,NA,NA,0.96,0,0,100
"Ymodel6.H",NA,2.976,22.738,NA,92.6,17.8,NA,0.643,2.287,0,100,100
"Ymodel7.XS",NA,-0.399,-7.65,NA,93.6,68.6,NA,0.015,0.021,0,100,100
"Ymodel7.S",NA,0.713,-5.143,NA,96,84.2,NA,0.063,0.077,0,100,100
"Ymodel7.L",NA,1.667,-2.162,NA,92.6,90,NA,0.135,0.133,0,100,100
"Ymodel7.M",NA,1.694,3.219,NA,96.6,95,NA,0.457,0.544,0,100,100
"Ymodel7.H",NA,1.492,4.03,NA,95.4,91,NA,0.787,1.021,0,100,100
"Ymodel8.XS",NA,1.346,6.588,NA,95.4,89.2,NA,0.014,0.02,0,100,100
"Ymodel8.S",NA,-0.441,5.334,NA,94.2,88.6,NA,0.067,0.086,0,100,100
"Ymodel8.L",NA,-0.58,5.101,NA,94.8,89,NA,0.123,0.161,0,100,100
"Ymodel8.M",NA,-1.022,4.495,NA,95,86.8,NA,0.466,0.612,0,100,100
"Ymodel8.H",NA,-1.033,2.11,NA,94,95,NA,0.789,0.839,0,100,100
"Ymodel9.XS",NA,0.408,0.129,NA,96,95.2,NA,0.011,0.011,0,100,100
"Ymodel9.S",NA,0.11,-0.202,NA,94.6,94.4,NA,0.055,0.055,0,100,100
"Ymodel9.L",NA,0.52,0.222,NA,97.6,97.8,NA,0.098,0.098,0,100,100
"Ymodel9.M",NA,0.609,0.437,NA,95.6,95.8,NA,0.476,0.472,0,100,100
"Ymodel9.H",NA,0.23,0.116,NA,95,95,NA,0.839,0.837,0,100,100
